구 苟=茍(빠를 극; ⾋-총9획; gǒu)
구 伛=傴(구부릴 구; ⼈-총13획; yǔ)
구 区=區(지경 구; ⼖-총11획; qū,ōu)
구 厩=廄(구; ⼴-총12획; jiù)
구 呕=嘔(노래할 구; ⼝-총14획; ōu,ǒu,òu)
구 够=夠(모을 구; ⼣-총11획; gòu,kōu)
구 妪=嫗(할미 구; ⼥-총14획; yù)
구 屦=屨(신 구; ⼫-총17획; jù)
구 岖=嶇(험할 구; ⼭-총14획; qū)
구 巯=巰(메르캅탄 구; ⼯-총13획; qiú)
구 惧=懼(두려워할 구; ⼼-총21획; jù)
구 抠=摳(출 구; ⼿-총14획; kōu)
구 旧=舊(예 구; ⾅-총18획; jiù)
구 构=構(얽을 구; ⽊-총14획; gòu)
구 构=搆(이해 못할 구; ⼿-총13획; gòu)
구 欧=歐(토할 구; ⽋-총15획; ōu)
구 殴=毆(때릴 구; ⽎-총15획; ōu)
구 沟=溝(봇도랑 구; ⽔-총13획; gōu)
구 沤=漚(담글 구; ⽔-총14획; òu,ōu)
구 瓯=甌(사발 구; ⽡-총16획; ōu)
구 窭=窶(가난할 구높고 좁은 곳 루; ⽳-총16획; jù)
구 缑=緱(칼자루 감을 구; ⽷-총15획; gōu)
구 觏=覯(만날 구; ⾒-총17획; gòu,hóu,hòu)
구 讴=謳(노래할 구; ⾔-총18획; ōu)
구 购=購(살 구; ⾙-총17획; gòu)
구 赇=賕(뇌물 구; ⾙-총14획; qiú)
구 躯=軀(몸 구; ⾝-총18획; qū)
구 钆=釓(가돌리늄 가; ⾦-총9획; gá)
구 钩=鉤(갈고랑이 구; ⾦-총13획; gōu)
구 阄=鬮(제비 구; ⾾-총26획; guì)
구 飓=颶(구풍 구; ⾵-총17획; jù)
구 驱=驅(몰 구; ⾺-총21획; qū)
구 驹=駒(망아지 구; ⾺-총15획; jū)
구 鸠=鳩(비둘기 구; ⿃-총13획; jiū)
구 鸥=鷗(갈매기 구; ⿃-총22획; ōu)
구 鸲=鴝(구관조 구; ⿃-총16획; qú)
구 龟=龜(나라 이름 구거북 귀,틀 균; ⿔-총16획; guī,jūn,qiū)
국 曲=麯(누룩 국; ⿆-총17획; qū)
국 局=跼(구부릴 국; ⾜-총14획; jú,jí)
국 局=侷(죄어칠 국; ⼈-총9획; jú)
국 局=挶(들것 국; ⼿-총10획; jū)
국 国=國(나라 국; ⼞-총11획; guó)
국 锔=鋦(쇠로 동일 국; ⾦-총15획; jū,jú)
군 军=軍(군사 군; ⾞-총9획; jūn)
군 皲=皸(틀 군; ⽪-총14획; jūn)
굴 诎=詘(굽힐 굴; ⾔-총12획; qū,chù)
궁 宫=宮(집 궁; ⼧-총10획; gōng)
궁 穷=窮(다할 궁; ⽳-총15획; qióng)}
권 卷=捲(말 권; ⼿-총11획; juǎn,juàn)
권 蜷=踡(곱송그릴 권; ⾜-총15획; quán)
권 劝=勸(권할 권; ⼒-총20획; quàn)
권 权=權(저울추 권; ⽊-총22획; quán)
권 绻=綣(정다울 권; ⽷-총14획; quǎn)
권 锩=錈(쇠 굽을 권; ⾦-총16획; juǎn)
권 颧=顴(광대뼈 권관; ⾴-총27획; quán)
궐 阙=闕(대궐 궐; ⾨-총18획; quē,què)
궐 鳜=鱖(쏘가리 궐; ⿂-총23획; guì,jué,wǎn)
궤 匦=匭(상자 궤; ⼕-총11획; guǐ)
궤 匮=匱(함 궤; ⼕-총14획; kuì,guì)
궤 愦=憒(심란할 궤; ⼼-총15획; kuì)
궤 柜=櫃(함 궤; ⽊-총18획; guì)
궤 溃=潰(무너질 궤; ⽔-총15획; kuì,huì)
궤 篑=簣(삼태기 궤; ⽵-총18획; kuì,kuài)
궤 缋=繢(수놓을 궤토끝 회(귀); ⽷-총18획; guì)
궤 诡=詭(속일 궤; ⾔-총13획; guǐ)
궤 轨=軌(길 궤; ⾞-총9획; guǐ)
궤 馈=饋(먹일 궤; ⾷-총21획; kuì)
궤 馈=餽(보낼 궤; ⾷-총19획; kuì,guì)
귀 刿=劌(상처 입힐 귀; ⼑-총15획; guì)}
귀 归=歸(돌아갈 귀; ⽌-총18획; guī)
귀 贵=貴(귀할 귀; ⾙-총12획; guì,guǐ)
규 妫=媯(성 규; ⼥-총12획; guī)
규 岿=巋(가파를 규험준할 귀; ⼭-총20획; kuī)
규 窍=竅(구멍 규; ⽳-총18획; qiào)
규 窥=窺(엿볼 규; ⽳-총16획; kuī)
규 纠=糾(꼴 규; ⽷-총8획; jiū)
규 规=規(법 규; ⾒-총11획; guī)
규 闺=閨(도장방 규; ⾨-총14획; guī)
균 匀=勻(적을 균; ⼓-총4획; yún)
균 钧=鈞(서른 근 균; ⾦-총12획; jūn)
극 克=剋(이길 극; ⼑-총9획; kè,kēi)
극 剧=劇(심할 극; ⼑-총15획; jù)
극 极=極(다할 극; ⽊-총13획; jí)
극 枣=棘(멧대추나무 극; ⽊-총12획; jí)
근 卺=巹(술잔 근; ⼰-총9획; jǐn)
